id_tiempo,ano,semana
2008-W12,2008,12
2008-W13,2008,13
2008-W14,2008,14
2008-W15,2008,15
2008-W16,2008,16
2008-W17,2008,17
2008-W18,2008,18
2008-W19,2008,19
2008-W20,2008,20
2008-W21,2008,21
2008-W22,2008,22
2008-W23,2008,23
2008-W24,2008,24
2008-W25,2008,25
2008-W26,2008,26
2008-W27,2008,27
2008-W28,2008,28
2008-W29,2008,29
2008-W30,2008,30
2008-W31,2008,31
2008-W32,2008,32
2008-W33,2008,33
2008-W34,2008,34
2008-W35,2008,35
2008-W36,2008,36
2008-W37,2008,37
2008-W38,2008,38
2008-W39,2008,39
2008-W40,2008,40
2008-W41,2008,41
2008-W42,2008,42
2008-W43,2008,43
2008-W44,2008,44
2008-W45,2008,45
2008-W46,2008,46
2008-W47,2008,47
2008-W48,2008,48
2008-W49,2008,49
2008-W50,2008,50
2008-W51,2008,51
2008-W52,2008,52
2008-W53,2008,53
2009-W01,2009,1
2009-W02,2009,2
2009-W03,2009,3
2009-W04,2009,4
2009-W05,2009,5
2009-W06,2009,6
2009-W07,2009,7
2009-W08,2009,8
2009-W09,2009,9
2009-W10,2009,10
2009-W11,2009,11
2009-W12,2009,12
2009-W13,2009,13
2009-W14,2009,14
2009-W15,2009,15
2009-W16,2009,16
2009-W17,2009,17
2009-W18,2009,18
2009-W19,2009,19
2009-W20,2009,20
2009-W21,2009,21
2009-W22,2009,22
2009-W23,2009,23
2009-W24,2009,24
2009-W25,2009,25
2009-W26,2009,26
2009-W27,2009,27
2009-W28,2009,28
2009-W29,2009,29
2009-W30,2009,30
2009-W31,2009,31
2009-W32,2009,32
2009-W33,2009,33
2009-W34,2009,34
2009-W35,2009,35
2009-W36,2009,36
2009-W37,2009,37
2009-W38,2009,38
2009-W39,2009,39
2009-W40,2009,40
2009-W41,2009,41
2009-W42,2009,42
2009-W43,2009,43
2009-W44,2009,44
2009-W45,2009,45
2009-W46,2009,46
2009-W47,2009,47
2009-W48,2009,48
2009-W49,2009,49
2009-W50,2009,50
2009-W51,2009,51
2009-W52,2009,52
2009-W53,2009,53
2010-W01,2010,1
2010-W02,2010,2
2010-W03,2010,3
2010-W04,2010,4
2010-W05,2010,5
2010-W06,2010,6
2010-W07,2010,7
2010-W08,2010,8
2010-W09,2010,9
2010-W10,2010,10
2010-W11,2010,11
2010-W12,2010,12
2010-W13,2010,13
2010-W14,2010,14
2010-W15,2010,15
2010-W16,2010,16
2010-W17,2010,17
2010-W18,2010,18
2010-W19,2010,19
2010-W20,2010,20
2010-W21,2010,21
2010-W22,2010,22
2010-W23,2010,23
2010-W24,2010,24
2010-W25,2010,25
2010-W26,2010,26
2010-W27,2010,27
2010-W28,2010,28
2010-W29,2010,29
2010-W30,2010,30
2010-W31,2010,31
2010-W32,2010,32
2010-W33,2010,33
2010-W34,2010,34
2010-W35,2010,35
2010-W36,2010,36
2010-W37,2010,37
